Country,ISO,Sex,Year,AgeStd_Diabetes_18+,AgeStd_Diab_L95_18+,AgeStd_Diab_L95_v2_18+,AgeStd_Treated_30+,AgeStd_Treat_L95_30+,AgeStd_Treat_U95_30+,Crude_Diabetes_18+,Crude_Diab_L95_18+,Crude_Diab_U95_18+,Crude_Treated_30+,Crude_Treat_L95_30+,Crude_Treat_U95_30+
Egypt,EGY,Men,1990,1036.5290400000001,6.1363491,15.804437299999998,39.7206469,23.0185572,58.712235400000004,7.922620299999999,4.5380507,12.5259204,39.247946999999996,22.6428641,58.20227799999999
Egypt,EGY,Men,1991,1047.19193,6.415638899999999,15.779379900000002,40.4989895,24.1252496,58.74369,7.9946277,4.7271345,12.3840404,39.8453278,23.7362991,57.860805299999996
Egypt,EGY,Men,1992,1060.03513,6.701342100000001,15.556948,41.270558699999995,25.3909494,58.5439798,8.1057939,4.962295800000001,12.2963416,40.4548667,24.7953236,57.6765144
Egypt,EGY,Men,1993,1074.1698,6.9848627,15.4241195,42.0284771,26.948754200000003,58.4410261,8.231585800000001,5.1627114,12.2204866,41.0562363,26.020876599999998,57.239348
Egypt,EGY,Men,1994,1089.9657100000002,7.1761527,15.4437743,42.7746367,28.1052034,58.551344900000004,8.376609799999999,5.3725716,12.2392275,41.6524601,27.1485786,57.2910979
Egypt,EGY,Men,1995,1107.14559,7.3850318999999995,15.4179967,43.4977424,29.2772778,58.5703581,8.5345274,5.608130699999999,12.3029456,42.2322333,28.279859499999997,57.25030290000001
Egypt,EGY,Men,1996,1126.1300800000001,7.642182,15.4740156,44.20822,30.411179399999998,58.5651876,8.7117452,5.7794821,12.3573647,42.8121021,29.354476000000002,57.062011999999996
Egypt,EGY,Men,1997,1147.24512,7.8614479,15.6716656,44.9006206,31.5833768,58.8375649,8.9121662,5.9981443,12.4632492,43.3892102,30.3069553,57.2705629
Egypt,EGY,Men,1998,1170.53334,8.1818334,15.8215714,45.5761958,32.7540587,58.921457700000005,9.130102299999999,6.2123653,12.6266672,43.9566431,31.3993405,57.3403802
Egypt,EGY,Men,1999,1196.43883,8.4466804,15.984758800000002,46.2338127,33.829048699999994,59.0037264,9.3706911,6.4289041000000005,12.785355200000001,44.5091161,32.4221802,57.2019084
Egypt,EGY,Men,2000,1225.4439,8.7323468,16.2341946,46.861764900000004,34.9077747,59.2106111,9.6407565,6.7155853,12.9772041,45.038673,33.4789826,57.146042900000005
Egypt,EGY,Men,2001,1257.99407,9.1240447,16.4100152,47.4576754,35.9536344,59.3326445,9.942361700000001,7.0570993,13.236283300000002,45.54668,34.2925447,57.0485455
